2022-04-14,Internet Banking INTERNET TRANSFER 000000116541,,4000.00
2022-04-12,Electronic Funds Transfer PREAUTHORIZED DEBIT INVESTMENT CIBCSI EFT-PUR,5000.00,
2022-04-12,Branch Transaction MEMO - TRANSFER IBB KEELE AND RIVERMEDE BANKING CE,,5000.00
2022-04-04,Internet Banking INTERNET TRANSFER 000000132182,200.00,
2022-04-04,Internet Banking INTERNET TRANSFER 000000126450,500.00,
2022-04-01,Internet Banking INTERNET TRANSFER 000000108943,334.09,
2022-03-31,Branch Transaction INTEREST,,0.44
2022-03-22,Internet Banking INTERNET TRANSFER 000000108402,1000.00,
2022-03-21,Internet Banking INTERNET TRANSFER 000000114011,500.00,
2022-03-21,Internet Banking INTERNET TRANSFER 000000138730,500.00,
2022-03-14,Internet Banking INTERNET TRANSFER 000000139648,1000.00,
2022-03-08,Internet Banking INTERNET TRANSFER 000000102844,1500.00,
2022-03-07,Branch Transaction SMART INTEREST,,0.81
2022-02-28,Branch Transaction INTEREST,,0.17
2022-02-28,Internet Banking INTERNET TRANSFER 000000117954,,1000.00
2022-02-24,Internet Banking INTERNET TRANSFER 000000106078,,1000.00
2022-02-17,Internet Banking INTERNET TRANSFER 000000110779,1500.00,
2022-02-16,Internet Banking INTERNET TRANSFER 000000104299,,1000.00
2022-02-02,Internet Banking INTERNET TRANSFER 000000108707,,4000.00
2022-01-31,Branch Transaction INTEREST,,0.17
2022-01-14,Internet Banking INTERNET TRANSFER 000000225726,,300.00
2022-01-10,Internet Banking INTERNET TRANSFER 000000248062,13000.00,
